lib,dtype,cfg,swizzle,raster,M,N,K,median_us,mean_us,min_us,tflops,clk_before,clk_after,verify,rel_l2,algo,desc,ERROR
cutlass,fp8,2,0,H,1802,4096,4096,320.03,321.89,316.38,188.9,1386,1386,PASS,1.66e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,fp8,0,16,H,1802,4096,4096,382.99,384.52,379.42,157.9,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,fp8,0,0,H,1802,4096,4096,381.73,383.17,377.95,158.4,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,fp8,7,16,H,1802,4096,4096,567.28,568.76,562.14,106.6,1386,1386,PASS,1.66e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,fp8,7,0,H,1802,4096,4096,513.02,514.04,509.12,117.9,1386,1386,PASS,1.66e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,int8,3,16,H,1802,4096,4096,254.94,257.10,251.01,237.2,1386,1386,PASS,1.65e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,int8,3,0,H,1802,4096,4096,252.99,255.15,248.80,239.0,1386,1386,PASS,1.65e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,int8,2,16,H,1802,4096,4096,323.66,325.68,321.50,186.8,1386,1386,PASS,1.65e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,int8,2,0,H,1802,4096,4096,327.68,328.66,322.56,184.5,1386,1386,PASS,1.65e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,int8,0,16,H,1802,4096,4096,382.02,384.17,379.87,158.3,1386,1386,PASS,1.65e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,int8,0,0,H,1802,4096,4096,384.03,385.36,379.90,157.4,1386,1386,PASS,1.65e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,int8,7,16,H,1802,4096,4096,568.30,570.26,558.08,106.4,1386,1386,PASS,1.65e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,int8,7,0,H,1802,4096,4096,511.06,513.53,508.90,118.3,1386,1386,PASS,1.65e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cublaslt,bf16,,,,4096,4096,4096,872.03,876.90,851.78,157.6,1386,1386,PASS,1.66e-03,66,,
cublaslt,fp8,,,,4096,4096,4096,489.44,492.00,480.22,280.8,1386,1386,PASS,1.65e-03,66,,
cublaslt,int8,,,,4096,4096,4096,549.41,556.65,540.64,250.2,1386,1386,PASS,0.00e+00,71,,
cublaslt,int8+rescale,,,,4096,4096,4096,946.19,958.38,936.93,145.3,1386,1386,PASS,1.65e-03,71,,
cutlass,fp8,3,16,H,4096,4096,4096,477.20,479.89,472.19,288.0,1386,1386,PASS,1.65e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,fp8,3,0,H,4096,4096,4096,485.38,488.78,481.06,283.2,1386,1386,PASS,1.65e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,fp8,2,16,H,4096,4096,4096,610.29,614.85,605.22,225.2,1386,1386,PASS,1.65e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,fp8,2,0,H,4096,4096,4096,631.84,634.41,626.75,217.5,1386,1386,PASS,1.65e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,fp8,0,16,H,4096,4096,4096,780.43,783.22,773.06,176.1,1386,1386,PASS,1.65e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,fp8,0,0,H,4096,4096,4096,793.65,795.46,788.48,173.2,1386,1386,PASS,1.65e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,fp8,7,16,H,4096,4096,4096,1070.66,1073.52,1065.98,128.4,1386,1386,PASS,1.65e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,fp8,7,0,H,4096,4096,4096,1126.32,1128.83,1120.22,122.0,1386,1386,PASS,1.65e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,int8,3,16,H,4096,4096,4096,476.16,478.34,469.06,288.6,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,int8,3,0,H,4096,4096,4096,478.53,481.56,470.05,287.2,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,int8,2,16,H,4096,4096,4096,622.62,626.21,617.54,220.7,1386,1386,PASS,1.66e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,int8,2,0,H,4096,4096,4096,631.86,634.81,626.85,217.5,1386,1386,PASS,1.66e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,int8,0,16,H,4096,4096,4096,777.23,781.40,772.00,176.8,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,int8,0,0,H,4096,4096,4096,798.16,801.11,791.55,172.2,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,int8,7,16,H,4096,4096,4096,1077.60,1079.46,1072.13,127.5,1386,1386,PASS,1.66e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,int8,7,0,H,4096,4096,4096,1126.91,1128.83,1121.28,122.0,1386,1386,PASS,1.66e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
