[4096x4096 M=901] clk=1386 MHz  cublaslt/bf16=88.1  cublaslt/fp8=158.5  cublaslt/int8=167.7  cublaslt/int8+rescale=139.0  cutlass/fp8/c3/s16=178.5  cutlass/fp8/c2/s16=166.7  cutlass/fp8/c1/s16=159.6  cutlass/fp8/c0/s16=141.2  cutlass/fp8/c7/s16=108.8  cutlass/int8/c3/s16=178.4  cutlass/int8/c2/s16=166.8  cutlass/int8/c1/s16=159.6  cutlass/int8/c0/s16=137.8  cutlass/int8/c7/s16=108.4
[4096x4096 M=1517] clk=1386 MHz  cublaslt/bf16=118.4  cublaslt/fp8=218.0  cublaslt/int8=211.1  cublaslt/int8+rescale=151.3  cutlass/fp8/c3/s16=246.0  cutlass/fp8/c2/s16=198.8  cutlass/fp8/c1/s16=198.1  cutlass/fp8/c0/s16=160.9  cutlass/fp8/c7/s16=105.1  cutlass/int8/c3/s16=237.8  cutlass/int8/c2/s16=199.2  cutlass/int8/c1/s16=196.5  cutlass/int8/c0/s16=161.4  cutlass/int8/c7/s16=106.1
[4096x4096 M=1802] clk=1386 MHz  cublaslt/bf16=134.9  cublaslt/fp8=246.0  cublaslt/int8=214.7  cublaslt/int8+rescale=145.3  cutlass/fp8/c3/s16=237.1  cutlass/fp8/c2/s16=187.5  cutlass/fp8/c1/s16=193.3  cutlass/fp8/c0/s16=158.7  cutlass/fp8/c7/s16=105.6  cutlass/int8/c3/s16=236.1  cutlass/int8/c2/s16=187.4  cutlass/int8/c1/s16=191.8  cutlass/int8/c0/s16=157.9  cutlass/int8/c7/s16=105.4
[4096x4096 M=4096] clk=1386 MHz  cublaslt/bf16=157.5  cublaslt/fp8=290.5  cublaslt/int8=254.5  cublaslt/int8+rescale=146.2  cutlass/fp8/c3/s16=288.0  cutlass/fp8/c2/s16=221.1  cutlass/fp8/c1/s16=217.4  cutlass/fp8/c0/s16=175.6  cutlass/fp8/c7/s16=128.1  cutlass/int8/c3/s16=288.0  cutlass/int8/c2/s16=218.9  cutlass/int8/c1/s16=215.8  cutlass/int8/c0/s16=175.9  cutlass/int8/c7/s16=128.0
[1024x4096 M=901] clk=1386 MHz  cublaslt/bf16=53.1  cublaslt/fp8=93.4  cublaslt/int8=80.5  cublaslt/int8+rescale=71.7  cutlass/fp8/c3/s16=85.9  cutlass/fp8/c2/s16=84.4  cutlass/fp8/c1/s16=84.8  cutlass/fp8/c0/s16=75.3  cutlass/fp8/c7/s16=68.8  cutlass/int8/c3/s16=81.1  cutlass/int8/c2/s16=86.8  cutlass/int8/c1/s16=81.1  cutlass/int8/c0/s16=76.7  cutlass/int8/c7/s16=64.7
[1024x4096 M=1517] clk=1386 MHz  cublaslt/bf16=72.3  cublaslt/fp8=117.2  cublaslt/int8=106.3  cublaslt/int8+rescale=97.8  cutlass/fp8/c3/s16=111.3  cutlass/fp8/c2/s16=108.5  cutlass/fp8/c1/s16=110.0  cutlass/fp8/c0/s16=104.4  cutlass/fp8/c7/s16=86.9  cutlass/int8/c3/s16=111.0  cutlass/int8/c2/s16=109.0  cutlass/int8/c1/s16=114.0  cutlass/int8/c0/s16=105.3  cutlass/int8/c7/s16=81.9
[1024x4096 M=1802] clk=1386 MHz  cublaslt/bf16=74.2  cublaslt/fp8=130.6  cublaslt/int8=112.6  cublaslt/int8+rescale=103.2  cutlass/fp8/c3/s16=117.6  cutlass/fp8/c2/s16=114.4  cutlass/fp8/c1/s16=127.3  cutlass/fp8/c0/s16=106.1  cutlass/fp8/c7/s16=91.1  cutlass/int8/c3/s16=121.1  cutlass/int8/c2/s16=120.0  cutlass/int8/c1/s16=124.0  cutlass/int8/c0/s16=110.7  cutlass/int8/c7/s16=83.9
[1024x4096 M=4096] clk=1386 MHz  cublaslt/bf16=110.0  cublaslt/fp8=191.7  cublaslt/int8=183.4  cublaslt/int8+rescale=150.8  cutlass/fp8/c3/s16=198.2  cutlass/fp8/c2/s16=170.3  cutlass/fp8/c1/s16=174.2  cutlass/fp8/c0/s16=141.1  cutlass/fp8/c7/s16=114.6  cutlass/int8/c3/s16=189.4  cutlass/int8/c2/s16=180.4  cutlass/int8/c1/s16=171.2  cutlass/int8/c0/s16=152.6  cutlass/int8/c7/s16=103.6
[12288x4096 M=901] clk=1386 MHz  cublaslt/bf16=137.5  cublaslt/fp8=242.0  cublaslt/int8=204.6  cublaslt/int8+rescale=133.3  cutlass/fp8/c3/s16=245.0  cutlass/fp8/c2/s16=189.3  cutlass/fp8/c1/s16=187.3  cutlass/fp8/c0/s16=146.6  cutlass/fp8/c7/s16=107.9  cutlass/int8/c3/s16=248.8  cutlass/int8/c2/s16=188.9  cutlass/int8/c1/s16=188.5  cutlass/int8/c0/s16=147.3  cutlass/int8/c7/s16=107.7
