lib,dtype,cfg,swizzle,raster,flush,nw,warmup_ms,dist,M,N,K,median_us,mean_us,min_us,tflops,clk_before,clk_after,verify,rel_l2,algo,desc,ERROR
cublaslt,bf16,,,,0,8,1500,,1802,1024,4096,88.03,114.70,85.95,171.7,1386,1386,PASS,1.65e-03,66,,
cublaslt,fp8,,,,0,8,1500,,1802,1024,4096,51.18,58.45,50.82,295.3,1386,1386,PASS,1.65e-03,66,,
cublaslt,int8,,,,0,8,1500,,1802,1024,4096,67.42,68.01,65.44,224.2,1386,1386,PASS,0.00e+00,71,,
cublaslt,int8+rescale,,,,0,8,1500,,1802,1024,4096,81.65,83.43,79.68,185.1,1386,1386,PASS,1.65e-03,71,,
cutlass,fp8,3,1,H,0,8,1500,normal,1802,1024,4096,65.28,65.62,63.33,231.6,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,int8,3,1,H,0,8,1500,normal,1802,1024,4096,65.09,65.24,63.07,232.2,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cublaslt,bf16,,,,0,8,1500,,4096,1024,4096,249.76,273.17,245.54,137.6,1386,1386,PASS,1.65e-03,66,,
cublaslt,fp8,,,,0,8,1500,,4096,1024,4096,155.57,146.33,106.43,220.9,1386,1386,PASS,1.65e-03,66,,
cublaslt,int8,,,,0,8,1500,,4096,1024,4096,161.71,163.29,156.45,212.5,1386,1386,PASS,0.00e+00,71,,
cublaslt,int8+rescale,,,,0,8,1500,,4096,1024,4096,205.71,210.32,197.41,167.0,1386,1386,PASS,1.65e-03,71,,
cutlass,fp8,3,1,H,0,8,1500,normal,4096,1024,4096,179.70,154.47,111.62,191.2,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,int8,3,1,H,0,8,1500,normal,4096,1024,4096,113.57,114.64,111.71,302.5,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
