lib,dtype,cfg,swizzle,raster,flush,nw,M,N,K,median_us,mean_us,min_us,tflops,clk_before,clk_after,verify,rel_l2,algo,desc,ERROR
cublaslt,bf16,,,,,,901,4096,4096,343.09,350.27,339.14,88.1,1386,1386,PASS,1.66e-03,66,,
cublaslt,fp8,,,,,,901,4096,4096,190.70,192.42,185.38,158.5,1386,1386,PASS,1.65e-03,66,,
cublaslt,int8,,,,,,901,4096,4096,180.22,182.22,177.09,167.7,1386,1386,PASS,0.00e+00,71,,
cublaslt,int8+rescale,,,,,,901,4096,4096,217.50,221.32,210.88,139.0,1386,1386,PASS,1.65e-03,71,,
cutlass,fp8,3,16,H,,,901,4096,4096,169.38,171.69,166.05,178.5,1386,1386,PASS,1.65e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,fp8,2,16,H,,,901,4096,4096,181.36,183.41,177.22,166.7,1386,1386,PASS,1.65e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,fp8,1,16,H,,,901,4096,4096,189.46,191.27,185.41,159.6,1386,1386,PASS,1.65e-03,,1SM 128x256x128 cluster1x1x1,
cutlass,fp8,0,16,H,,,901,4096,4096,214.11,216.35,211.01,141.2,1386,1386,PASS,1.65e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,fp8,7,16,H,,,901,4096,4096,277.82,279.64,274.56,108.8,1386,1386,PASS,1.65e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,int8,3,16,H,,,901,4096,4096,169.46,172.15,166.88,178.4,1386,1386,PASS,1.65e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,int8,2,16,H,,,901,4096,4096,181.23,184.74,178.18,166.8,1386,1386,PASS,1.65e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,int8,1,16,H,,,901,4096,4096,189.42,192.27,186.21,159.6,1386,1386,PASS,1.65e-03,,1SM 128x256x128 cluster1x1x1,
cutlass,int8,0,16,H,,,901,4096,4096,219.46,223.01,216.06,137.8,1386,1386,PASS,1.65e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,int8,7,16,H,,,901,4096,4096,278.83,280.54,274.62,108.4,1386,1386,PASS,1.65e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cublaslt,bf16,,,,,,1517,4096,4096,429.92,433.10,426.98,118.4,1386,1386,PASS,1.66e-03,66,,
cublaslt,fp8,,,,,,1517,4096,4096,233.47,235.10,230.40,218.0,1386,1386,PASS,1.65e-03,66,,
