lib,dtype,cfg,swizzle,raster,flush,nw,M,N,K,median_us,mean_us,min_us,tflops,clk_before,clk_after,verify,rel_l2,algo,desc,ERROR
cublaslt,int8,,,,,,1517,4096,4096,241.15,244.27,234.59,211.1,1386,1386,PASS,0.00e+00,71,,
cublaslt,int8+rescale,,,,,,1517,4096,4096,336.40,343.02,326.69,151.3,1386,1386,PASS,1.65e-03,71,,
cutlass,fp8,3,16,H,,,1517,4096,4096,206.88,209.82,200.80,246.0,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,fp8,2,16,H,,,1517,4096,4096,255.98,257.05,252.90,198.8,1386,1386,PASS,1.66e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,fp8,1,16,H,,,1517,4096,4096,256.99,257.93,250.88,198.1,1386,1386,PASS,1.66e-03,,1SM 128x256x128 cluster1x1x1,
cutlass,fp8,0,16,H,,,1517,4096,4096,316.42,318.49,313.79,160.9,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,fp8,7,16,H,,,1517,4096,4096,484.30,485.82,480.29,105.1,1386,1386,PASS,1.66e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,int8,3,16,H,,,1517,4096,4096,214.02,215.86,210.94,237.8,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,int8,2,16,H,,,1517,4096,4096,255.47,259.39,251.90,199.2,1386,1386,PASS,1.66e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,int8,1,16,H,,,1517,4096,4096,259.09,261.55,256.00,196.5,1386,1386,PASS,1.66e-03,,1SM 128x256x128 cluster1x1x1,
cutlass,int8,0,16,H,,,1517,4096,4096,315.33,317.30,309.28,161.4,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,int8,7,16,H,,,1517,4096,4096,479.74,481.38,476.16,106.1,1386,1386,PASS,1.66e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cublaslt,bf16,,,,,,1802,4096,4096,448.06,453.53,442.34,134.9,1386,1386,PASS,1.66e-03,66,,
cublaslt,fp8,,,,,,1802,4096,4096,245.76,249.67,242.62,246.0,1386,1386,PASS,1.65e-03,66,,
cublaslt,int8,,,,,,1802,4096,4096,281.62,284.88,276.48,214.7,1386,1386,PASS,0.00e+00,71,,
cublaslt,int8+rescale,,,,,,1802,4096,4096,416.26,423.20,409.57,145.3,1386,1386,PASS,1.65e-03,71,,
cutlass,fp8,3,16,H,,,1802,4096,4096,254.98,256.79,251.87,237.1,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,fp8,2,16,H,,,1802,4096,4096,322.56,324.07,317.44,187.5,1386,1386,PASS,1.66e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,fp8,1,16,H,,,1802,4096,4096,312.88,314.30,308.58,193.3,1386,1386,PASS,1.66e-03,,1SM 128x256x128 cluster1x1x1,
cutlass,fp8,0,16,H,,,1802,4096,4096,381.04,382.97,378.88,158.7,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,fp8,7,16,H,,,1802,4096,4096,572.34,573.37,565.47,105.6,1386,1386,PASS,1.66e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,int8,3,16,H,,,1802,4096,4096,256.10,258.18,252.45,236.1,1386,1386,PASS,1.65e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,int8,2,16,H,,,1802,4096,4096,322.58,323.72,318.53,187.4,1386,1386,PASS,1.65e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,int8,1,16,H,,,1802,4096,4096,315.22,316.67,309.25,191.8,1386,1386,PASS,1.65e-03,,1SM 128x256x128 cluster1x1x1,
cutlass,int8,0,16,H,,,1802,4096,4096,382.98,383.77,378.24,157.9,1386,1386,PASS,1.65e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,int8,7,16,H,,,1802,4096,4096,573.44,575.58,568.32,105.4,1386,1386,PASS,1.65e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cublaslt,bf16,,,,,,4096,4096,4096,872.46,878.92,861.18,157.5,1386,1386,PASS,1.66e-03,66,,
cublaslt,fp8,,,,,,4096,4096,4096,473.14,477.95,467.07,290.5,1386,1386,PASS,1.65e-03,66,,
cublaslt,int8,,,,,,4096,4096,4096,540.13,547.61,530.43,254.5,1386,1386,PASS,0.00e+00,71,,
cublaslt,int8+rescale,,,,,,4096,4096,4096,940.27,951.00,925.70,146.2,1386,1386,PASS,1.65e-03,71,,
cutlass,fp8,3,16,H,,,4096,4096,4096,477.22,480.00,472.06,288.0,1386,1386,PASS,1.65e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,fp8,2,16,H,,,4096,4096,4096,621.50,624.50,615.23,221.1,1386,1386,PASS,1.65e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,fp8,1,16,H,,,4096,4096,4096,632.18,635.02,625.70,217.4,1386,1386,PASS,1.65e-03,,1SM 128x256x128 cluster1x1x1,
cutlass,fp8,0,16,H,,,4096,4096,4096,782.78,785.31,775.20,175.6,1386,1386,PASS,1.65e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,fp8,7,16,H,,,4096,4096,4096,1073.02,1076.54,1067.90,128.1,1386,1386,PASS,1.65e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,int8,3,16,H,,,4096,4096,4096,477.22,478.98,472.10,288.0,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,int8,2,16,H,,,4096,4096,4096,627.79,631.71,622.59,218.9,1386,1386,PASS,1.66e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,int8,1,16,H,,,4096,4096,4096,636.94,639.99,631.84,215.8,1386,1386,PASS,1.66e-03,,1SM 128x256x128 cluster1x1x1,
cutlass,int8,0,16,H,,,4096,4096,4096,781.42,784.68,776.86,175.9,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,int8,7,16,H,,,4096,4096,4096,1073.62,1077.27,1068.00,128.0,1386,1386,PASS,1.66e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cublaslt,bf16,,,,,,901,1024,4096,142.37,144.53,140.26,53.1,1386,1386,PASS,1.65e-03,66,,
cublaslt,fp8,,,,,,901,1024,4096,80.90,81.56,78.78,93.4,1386,1386,PASS,1.66e-03,66,,
cublaslt,int8,,,,,,901,1024,4096,93.86,95.70,91.10,80.5,1386,1386,PASS,0.00e+00,71,,
cublaslt,int8+rescale,,,,,,901,1024,4096,105.47,106.40,102.24,71.7,1386,1386,PASS,1.65e-03,71,,
cutlass,fp8,3,16,H,,,901,1024,4096,88.02,88.85,84.00,85.9,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,fp8,2,16,H,,,901,1024,4096,89.60,90.96,86.94,84.4,1386,1386,PASS,1.66e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,fp8,1,16,H,,,901,1024,4096,89.09,90.35,86.02,84.8,1386,1386,PASS,1.66e-03,,1SM 128x256x128 cluster1x1x1,
cutlass,fp8,0,16,H,,,901,1024,4096,100.38,101.68,96.13,75.3,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,fp8,7,16,H,,,901,1024,4096,109.94,110.77,108.45,68.8,1386,1386,PASS,1.66e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,int8,3,16,H,,,901,1024,4096,93.23,94.09,90.24,81.1,1386,1386,PASS,1.65e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,int8,2,16,H,,,901,1024,4096,87.04,88.61,82.98,86.8,1386,1386,PASS,1.65e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,int8,1,16,H,,,901,1024,4096,93.15,94.83,90.02,81.1,1386,1386,PASS,1.65e-03,,1SM 128x256x128 cluster1x1x1,
cutlass,int8,0,16,H,,,901,1024,4096,98.50,99.35,94.24,76.7,1386,1386,PASS,1.65e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,int8,7,16,H,,,901,1024,4096,116.78,117.89,113.66,64.7,1386,1386,PASS,1.65e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cublaslt,bf16,,,,,,1517,1024,4096,176.13,178.48,171.14,72.3,1386,1386,PASS,1.65e-03,66,,
cublaslt,fp8,,,,,,1517,1024,4096,108.54,109.39,105.41,117.2,1386,1386,PASS,1.65e-03,66,,
cublaslt,int8,,,,,,1517,1024,4096,119.73,120.87,115.87,106.3,1386,1386,PASS,0.00e+00,71,,
cublaslt,int8+rescale,,,,,,1517,1024,4096,130.13,132.93,127.94,97.8,1386,1386,PASS,1.65e-03,71,,
cutlass,fp8,3,16,H,,,1517,1024,4096,114.32,116.33,111.49,111.3,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,fp8,2,16,H,,,1517,1024,4096,117.30,118.83,113.31,108.5,1386,1386,PASS,1.66e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,fp8,1,16,H,,,1517,1024,4096,115.71,117.45,112.10,110.0,1386,1386,PASS,1.66e-03,,1SM 128x256x128 cluster1x1x1,
cutlass,fp8,0,16,H,,,1517,1024,4096,121.94,124.50,119.81,104.4,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,fp8,7,16,H,,,1517,1024,4096,146.43,147.25,143.36,86.9,1386,1386,PASS,1.66e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,int8,3,16,H,,,1517,1024,4096,114.61,116.14,110.56,111.0,1386,1386,PASS,1.65e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,int8,2,16,H,,,1517,1024,4096,116.75,118.76,110.43,109.0,1386,1386,PASS,1.65e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,int8,1,16,H,,,1517,1024,4096,111.63,113.33,108.54,114.0,1386,1386,PASS,1.65e-03,,1SM 128x256x128 cluster1x1x1,
cutlass,int8,0,16,H,,,1517,1024,4096,120.83,122.87,117.86,105.3,1386,1386,PASS,1.65e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,int8,7,16,H,,,1517,1024,4096,155.46,156.81,153.57,81.9,1386,1386,PASS,1.65e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cublaslt,bf16,,,,,,1802,1024,4096,203.74,205.10,198.62,74.2,1386,1386,PASS,1.65e-03,66,,
cublaslt,fp8,,,,,,1802,1024,4096,115.71,116.89,112.74,130.6,1386,1386,PASS,1.65e-03,66,,
cublaslt,int8,,,,,,1802,1024,4096,134.26,136.06,126.98,112.6,1386,1386,PASS,0.00e+00,71,,
cublaslt,int8+rescale,,,,,,1802,1024,4096,146.43,148.22,139.26,103.2,1386,1386,PASS,1.65e-03,71,,
cutlass,fp8,3,16,H,,,1802,1024,4096,128.58,129.54,123.90,117.6,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,fp8,2,16,H,,,1802,1024,4096,132.10,133.28,129.95,114.4,1386,1386,PASS,1.66e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,fp8,1,16,H,,,1802,1024,4096,118.78,120.47,115.78,127.3,1386,1386,PASS,1.66e-03,,1SM 128x256x128 cluster1x1x1,
cutlass,fp8,0,16,H,,,1802,1024,4096,142.43,143.71,138.24,106.1,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,fp8,7,16,H,,,1802,1024,4096,165.92,167.43,162.82,91.1,1386,1386,PASS,1.66e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,int8,3,16,H,,,1802,1024,4096,124.86,125.97,119.74,121.1,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,int8,2,16,H,,,1802,1024,4096,125.97,128.33,121.98,120.0,1386,1386,PASS,1.66e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,int8,1,16,H,,,1802,1024,4096,121.87,123.60,118.43,124.0,1386,1386,PASS,1.66e-03,,1SM 128x256x128 cluster1x1x1,
cutlass,int8,0,16,H,,,1802,1024,4096,136.61,138.07,133.15,110.7,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,int8,7,16,H,,,1802,1024,4096,180.19,180.39,176.19,83.9,1386,1386,PASS,1.66e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cublaslt,bf16,,,,,,4096,1024,4096,312.27,314.97,307.20,110.0,1386,1386,PASS,1.65e-03,66,,
cublaslt,fp8,,,,,,4096,1024,4096,179.20,181.33,172.10,191.7,1386,1386,PASS,1.65e-03,66,,
cublaslt,int8,,,,,,4096,1024,4096,187.39,189.37,182.43,183.4,1386,1386,PASS,0.00e+00,71,,
cublaslt,int8+rescale,,,,,,4096,1024,4096,227.90,231.52,222.21,150.8,1386,1386,PASS,1.65e-03,71,,
cutlass,fp8,3,16,H,,,4096,1024,4096,173.36,176.18,170.75,198.2,1386,1386,PASS,1.65e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,fp8,2,16,H,,,4096,1024,4096,201.74,203.79,197.60,170.3,1386,1386,PASS,1.65e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,fp8,1,16,H,,,4096,1024,4096,197.23,200.98,193.50,174.2,1386,1386,PASS,1.65e-03,,1SM 128x256x128 cluster1x1x1,
cutlass,fp8,0,16,H,,,4096,1024,4096,243.46,244.62,239.52,141.1,1386,1386,PASS,1.65e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,fp8,7,16,H,,,4096,1024,4096,299.95,301.41,296.90,114.6,1386,1386,PASS,1.65e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,int8,3,16,H,,,4096,1024,4096,181.41,183.90,179.17,189.4,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,int8,2,16,H,,,4096,1024,4096,190.48,192.82,186.37,180.4,1386,1386,PASS,1.66e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,int8,1,16,H,,,4096,1024,4096,200.72,203.58,197.73,171.2,1386,1386,PASS,1.66e-03,,1SM 128x256x128 cluster1x1x1,
cutlass,int8,0,16,H,,,4096,1024,4096,225.18,226.27,223.20,152.6,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,int8,7,16,H,,,4096,1024,4096,331.74,333.58,327.71,103.6,1386,1386,PASS,1.66e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cublaslt,bf16,,,,,,901,12288,4096,659.46,667.21,647.23,137.5,1386,1386,PASS,1.66e-03,66,,
cublaslt,fp8,,,,,,901,12288,4096,374.83,381.86,369.50,242.0,1386,1386,PASS,1.65e-03,66,,
cublaslt,int8,,,,,,901,12288,4096,443.31,449.31,432.22,204.6,1386,1386,PASS,0.00e+00,71,,
cublaslt,int8+rescale,,,,,,901,12288,4096,680.45,693.70,675.78,133.3,1386,1386,PASS,1.65e-03,71,,
cutlass,fp8,3,16,H,,,901,12288,4096,370.21,374.64,364.64,245.0,1386,1386,PASS,1.65e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,fp8,2,16,H,,,901,12288,4096,479.22,480.42,475.33,189.3,1386,1386,PASS,1.65e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,fp8,1,16,H,,,901,12288,4096,484.11,486.78,481.25,187.3,1386,1386,PASS,1.65e-03,,1SM 128x256x128 cluster1x1x1,
cutlass,fp8,0,16,H,,,901,12288,4096,618.51,620.82,615.49,146.6,1386,1386,PASS,1.65e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,fp8,7,16,H,,,901,12288,4096,840.70,842.84,838.62,107.9,1386,1386,PASS,1.65e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,int8,3,16,H,,,901,12288,4096,364.59,369.63,360.45,248.8,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,int8,2,16,H,,,901,12288,4096,480.24,482.79,476.16,188.9,1386,1386,PASS,1.66e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,int8,1,16,H,,,901,12288,4096,481.20,482.88,477.22,188.5,1386,1386,PASS,1.66e-03,,1SM 128x256x128 cluster1x1x1,
cutlass,int8,0,16,H,,,901,12288,4096,615.55,618.01,613.34,147.3,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,int8,7,16,H,,,901,12288,4096,841.79,843.69,839.62,107.7,1386,1386,PASS,1.66e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cublaslt,bf16,,,,,,1517,12288,4096,1050.64,1052.68,1020.83,145.3,1386,1386,PASS,1.66e-03,66,,
cublaslt,fp8,,,,,,1517,12288,4096,561.20,565.04,544.80,272.1,1386,1386,PASS,1.65e-03,66,,
cublaslt,int8,,,,,,1517,12288,4096,586.77,593.76,579.58,260.2,1386,1386,PASS,0.00e+00,71,,
cublaslt,int8+rescale,,,,,,1517,12288,4096,1019.50,1033.10,1003.52,149.8,1386,1386,PASS,1.66e-03,71,,
cutlass,fp8,3,16,H,,,1517,12288,4096,510.98,514.28,506.82,298.9,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,fp8,2,16,H,,,1517,12288,4096,713.63,715.44,708.58,214.0,1386,1386,PASS,1.66e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,fp8,1,16,H,,,1517,12288,4096,713.71,715.27,710.56,214.0,1386,1386,PASS,1.66e-03,,1SM 128x256x128 cluster1x1x1,
cutlass,fp8,0,16,H,,,1517,12288,4096,924.14,925.58,919.52,165.2,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x1x1,
