lib,dtype,cfg,swizzle,raster,flush,nw,M,N,K,median_us,mean_us,min_us,tflops,clk_before,clk_after,verify,rel_l2,algo,desc,ERROR
cutlass,fp8,0,16,H,0,8,1802,4096,4096,367.44,368.22,365.22,164.6,1386,1386,PASS,1.66e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,fp8,7,16,H,0,8,1802,4096,4096,528.10,529.35,525.18,114.5,1386,1386,PASS,1.66e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,int8,3,16,H,0,8,1802,4096,4096,208.85,210.03,206.78,289.5,1386,1386,PASS,1.65e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,int8,2,16,H,0,8,1802,4096,4096,263.87,265.00,261.95,229.1,1386,1386,PASS,1.65e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,int8,1,16,H,0,8,1802,4096,4096,283.58,285.33,282.18,213.2,1386,1386,PASS,1.65e-03,,1SM 128x256x128 cluster1x1x1,
cutlass,int8,0,16,H,0,8,1802,4096,4096,324.58,325.60,322.43,186.3,1386,1386,PASS,1.65e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,int8,7,16,H,0,8,1802,4096,4096,586.70,588.48,582.78,103.1,1386,1386,PASS,1.65e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cublaslt,bf16,,,,0,8,4096,4096,4096,1116.54,1122.82,866.37,123.1,1386,1386,PASS,1.66e-03,66,,
cublaslt,fp8,,,,0,8,4096,4096,4096,648.58,606.86,443.36,211.9,1386,1386,PASS,1.65e-03,66,,
cublaslt,int8,,,,0,8,4096,4096,4096,516.96,523.02,506.82,265.9,1386,1386,PASS,0.00e+00,71,,
cublaslt,int8+rescale,,,,0,8,4096,4096,4096,909.07,917.68,892.86,151.2,1386,1386,PASS,1.65e-03,71,,
cutlass,fp8,3,16,H,0,8,4096,4096,4096,507.76,503.40,354.14,270.7,1386,1386,PASS,1.65e-03,,2SM 256x256x128 cluster2x1x1,
cutlass,fp8,2,16,H,0,8,4096,4096,4096,606.83,681.69,589.89,226.5,1386,1386,PASS,1.65e-03,,2SM 256x128x128 cluster2x1x1,
cutlass,fp8,1,16,H,0,8,4096,4096,4096,610.30,687.63,598.85,225.2,1386,1386,PASS,1.65e-03,,1SM 128x256x128 cluster1x1x1,
cutlass,fp8,0,16,H,0,8,4096,4096,4096,757.82,760.94,750.40,181.4,1386,1386,PASS,1.65e-03,,1SM 128x128x128 cluster1x1x1,
cutlass,fp8,7,16,H,0,8,4096,4096,4096,1050.78,1053.04,1045.50,130.8,1386,1386,PASS,1.65e-03,,1SM 64x128x128 cluster1x1x1 (small-M),
cutlass,int8,3,16,H,0,8,4096,4096,4096,417.81,452.17,351.81,329.0,1386,1386,PASS,1.66e-03,,2SM 256x256x128 cluster2x1x1,
